id,title,genres,vote_average,vote_count,revenue,release_date,image_width,image_height
581,Dances with Wolves,"['Adventure', 'Drama', 'Western']",7.837,4637,424208848,1990-03-30,500,750
16996,17 Again,"['Comedy', 'Fantasy', 'Drama', 'Romance']",6.314,5388,136300000,2009-03-11,500,750
455207,Crazy Rich Asians,"['Comedy', 'Romance']",7.052,3934,238539198,2018-08-15,500,750
338803,The Treacherous,"['Drama', 'History', 'Crime']",6.1,89,6906250,2015-05-21,500,750
262504,Allegiant,"['Adventure', 'Science Fiction', 'Action', 'Mystery']",6.101,6929,179246868,2016-03-09,500,750
504253,I Want to Eat Your Pancreas,"['Animation', 'Drama', 'Romance']",8.223,1754,33748006,2018-09-01,500,750
50723,Naruto Shippuden the Movie: The Lost Tower,"['Adventure', 'Action', 'Animation']",7.2,502,16537336,2010-07-31,500,750
623491,The Babysitter: Killer Queen,"['Comedy', 'Horror']",6.333,1808,0,2020-09-10,500,750
661791,The Grandmother,"['Drama', 'Horror']",5.9,482,1817696,2022-01-28,500,750
503919,The Lighthouse,"['Drama', 'Fantasy', 'Thriller']",7.477,5480,18262464,2019-10-18,500,750
10991,Pokémon 3: The Movie,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family']",6.536,677,68452128,2000-07-08,500,750
267805,There Are No Saints,"['Action', 'Mystery', 'Thriller']",5.2,118,108738,2022-05-27,500,750
916719,Code Name Banshee,"['Action', 'Thriller']",5.7,143,0,2022-07-01,500,750
644,A.I. Artificial Intelligence,"['Drama', 'Science Fiction', 'Adventure']",7.056,6593,235926552,2001-06-29,500,750
957042,The Protector,"['Thriller', 'Fantasy']",5.0,10,0,2022-07-28,500,750
560144,Skylines,"['Science Fiction', 'Action', 'Thriller']",5.532,590,170581,2020-10-25,500,750
9313,The Man in the Iron Mask,"['Adventure', 'Action', 'Drama']",6.647,4100,183000000,1998-03-12,500,750
1016661,Romance of Ida,"['Romance', 'TV Movie', 'History']",6.691,34,0,2022-07-11,500,714
535167,The Wandering Earth,"['Science Fiction', 'Action', 'Drama']",6.643,1131,0,2019-02-05,500,750
843898,She Came from the Woods,['Horror'],5.535,57,0,2023-02-10,500,750
976912,Graphic Desires,"['Thriller', 'Crime']",7.0,49,0,2023-08-31,500,750
515001,Jojo Rabbit,"['Comedy', 'War', 'Drama']",7.989,10311,82468705,2019-10-18,500,750
639,When Harry Met Sally...,"['Comedy', 'Romance', 'Drama']",7.404,4542,92823546,1989-07-12,500,750
39144,Dragon Ball: Curse of the Blood Rubies,"['Action', 'Animation', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction']",6.873,367,7417517,1986-12-20,500,750
97020,RoboCop,"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']",5.885,5807,242688965,2014-01-30,500,750
63311,The Skin I Live In,"['Drama', 'Horror', 'Mystery', 'Thriller']",7.489,4576,33750478,2011-08-17,500,750
20760,Lilo & Stitch 2: Stitch Has a Glitch,"['Animation', 'Family', 'Comedy', 'Science Fiction']",6.68,1614,0,2005-08-22,500,750
59859,Kick-Ass 2,"['Action', 'Adventure', 'Crime']",6.404,6524,60795985,2013-07-17,500,750
529216,Mirage,"['Thriller', 'Drama', 'Mystery', 'Fantasy']",7.451,1969,17325485,2018-11-30,500,750
201085,Crimson Peak,"['Horror', 'Mystery', 'Romance']",6.66,5206,74700000,2015-10-13,500,750
525660,Dynasty Warriors,"['Action', 'Adventure', 'Fantasy']",5.9,140,3310000,2021-04-27,500,750
874743,To Every You I've Loved Before,"['Animation', 'Romance', 'Science Fiction']",6.698,48,0,2022-10-07,500,750
722149,Luther: The Fallen Sun,"['Crime', 'Mystery', 'Thriller']",6.633,1076,0,2023-02-24,500,741
483906,Polar,"['Action', 'Crime', 'Drama']",6.4,2447,0,2019-01-25,500,750
715287,Stepmom's Desire,"['Drama', 'Romance']",7.2,30,0,2020-05-29,500,750
11675,Halloween H20: 20 Years Later,"['Horror', 'Thriller']",6.046,1776,75041738,1998-08-05,500,750
9477,King Arthur,"['Adventure', 'War', 'History', 'Action', 'Drama']",6.3,2896,203567857,2004-07-07,500,750
754,Face/Off,"['Action', 'Crime', 'Science Fiction']",7.051,5827,245700000,1997-06-27,500,750
454,Romeo + Juliet,"['Drama', 'Romance']",6.78,5308,147298761,1996-11-01,500,741
39148,Dragon Ball: The Path to Power,"['Animation', 'Adventure', 'Fantasy']",7.361,393,0,1996-03-04,500,750
1620,Hitman,"['Action', 'Thriller', 'Drama']",6.151,3617,101276318,2007-11-21,500,750
399055,The Shape of Water,"['Drama', 'Fantasy', 'Romance']",7.237,12775,195300000,2017-12-01,500,750
88751,Journey to the Center of the Earth,"['Action', 'Science Fiction', 'Adventure', 'Comedy', 'Family']",6.087,5105,101702060,2008-07-10,500,750
660120,The Worst Person in the World,"['Drama', 'Romance', 'Comedy']",7.442,1799,12687507,2021-10-13,500,750
6957,The 40 Year Old Virgin,"['Comedy', 'Romance']",6.419,7150,177400000,2005-08-11,500,750
530254,The Witch: Part 1. The Subversion,"['Action', 'Mystery', 'Science Fiction']",7.905,716,24340302,2018-06-27,500,750
448119,Dolittle,"['Family', 'Comedy', 'Fantasy', 'Adventure']",6.6,3847,251410631,2020-01-02,500,750
522924,The Art of Racing in the Rain,"['Drama', 'Romance']",8.17,1659,33800000,2019-08-08,500,750
1027159,LUPIN THE 3rd vs. CAT'S EYE,"['Animation', 'Action', 'Adventure', 'Comedy', 'Crime']",6.2,50,0,2023-04-20,500,750
800497,Werewolves Within,"['Horror', 'Comedy']",6.032,619,937490,2021-06-25,500,750
561717,The Perfect Find,"['Romance', 'Comedy']",6.1,134,0,2023-06-23,500,750
901563,Close,['Drama'],7.774,977,3129968,2022-11-01,500,750
14442,Ella Enchanted,"['Family', 'Fantasy', 'Comedy']",6.477,1953,27400000,2004-04-09,500,750
805411,Descendants: The Royal Wedding,"['Animation', 'Family', 'Comedy', 'Drama']",6.7,164,0,2021-08-13,500,750
